flyID,in:MaasterrasA,in:MaasterrasB,in:MaasterrasC,in:Screen,out:MABVO,out:MBBVO,out:MCBVO,out:AverageSkyView,out:maxGeluidswaardeGeveldB,out:SIPercentage2Hrs,out:SHPercentage2Hrs
MaasterrasAVariant4_MaasterrasBVariant2_MaasterrasCVariant5_Screenyes,Variant 4,Variant 2,Variant 5,yes,48857,23967,203107,45,62,37,19
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant1_Screenno,Variant 4,Variant 3,Variant 1,no,48857,23967,90688,45,60,34,19
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant1_Screenyes,Variant 4,Variant 3,Variant 1,yes,48857,23967,90688,45,60,34,19
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant2_Screenno,Variant 4,Variant 3,Variant 2,no,48857,23967,61128,45,60,33,18
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant2_Screenyes,Variant 4,Variant 3,Variant 2,yes,48857,23967,61128,45,60,33,18
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant3_Screenno,Variant 4,Variant 3,Variant 3,no,48857,23967,45313,46,60,29,15
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant3_Screenyes,Variant 4,Variant 3,Variant 3,yes,48857,23967,45313,46,60,29,15
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant4_Screenno,Variant 4,Variant 3,Variant 4,no,48857,23967,58448,47,62,33,15
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant4_Screenyes,Variant 4,Variant 3,Variant 4,yes,48857,23967,58448,47,62,33,15
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant5_Screenno,Variant 4,Variant 3,Variant 5,no,48857,23967,203107,45,62,37,19
MaasterrasAVariant4_MaasterrasBVariant3_MaasterrasCVariant5_Screenyes,Variant 4,Variant 3,Variant 5,yes,48857,23967,203107,45,62,37,19
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant1_Screenno,Variant 4,Variant 4,Variant 1,no,48857,22905,90688,45,60,33,19
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant1_Screenyes,Variant 4,Variant 4,Variant 1,yes,48857,22905,90688,45,60,33,19
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant2_Screenno,Variant 4,Variant 4,Variant 2,no,48857,22905,61128,45,60,32,18
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant2_Screenyes,Variant 4,Variant 4,Variant 2,yes,48857,22905,61128,45,60,32,18
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant3_Screenno,Variant 4,Variant 4,Variant 3,no,48857,22905,45313,47,60,28,15
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant3_Screenyes,Variant 4,Variant 4,Variant 3,yes,48857,22905,45313,47,60,28,15
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant4_Screenno,Variant 4,Variant 4,Variant 4,no,48857,22905,58448,47,62,33,15
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant4_Screenyes,Variant 4,Variant 4,Variant 4,yes,48857,22905,58448,47,62,33,15
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant5_Screenno,Variant 4,Variant 4,Variant 5,no,48857,22905,203107,45,62,36,19
MaasterrasAVariant4_MaasterrasBVariant4_MaasterrasCVariant5_Screenyes,Variant 4,Variant 4,Variant 5,yes,48857,22905,203107,45,62,36,19
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant1_Screenno,Variant 4,Variant 5,Variant 1,no,48857,28540,90688,45,60,33,19
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant1_Screenyes,Variant 4,Variant 5,Variant 1,yes,48857,28540,90688,45,60,33,19
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant2_Screenno,Variant 4,Variant 5,Variant 2,no,48857,28540,61128,46,60,32,18
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant2_Screenyes,Variant 4,Variant 5,Variant 2,yes,48857,28540,61128,46,60,32,18
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant3_Screenno,Variant 4,Variant 5,Variant 3,no,48857,28540,45313,47,60,28,15
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant3_Screenyes,Variant 4,Variant 5,Variant 3,yes,48857,28540,45313,47,60,28,15
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant4_Screenno,Variant 4,Variant 5,Variant 4,no,48857,28540,58448,47,62,33,15
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant4_Screenyes,Variant 4,Variant 5,Variant 4,yes,48857,28540,58448,47,62,33,15
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant5_Screenno,Variant 4,Variant 5,Variant 5,no,48857,28540,203107,45,62,36,19
MaasterrasAVariant4_MaasterrasBVariant5_MaasterrasCVariant5_Screenyes,Variant 4,Variant 5,Variant 5,yes,48857,28540,203107,45,62,36,19
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant1_Screenno,Variant 5,Variant 1,Variant 1,no,50268,21488,90688,45,60,35,16
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant1_Screenyes,Variant 5,Variant 1,Variant 1,yes,50268,21488,90688,45,60,35,16
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant2_Screenno,Variant 5,Variant 1,Variant 2,no,50268,21488,61128,45,60,33,15
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant2_Screenyes,Variant 5,Variant 1,Variant 2,yes,50268,21488,61128,45,60,33,15
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant3_Screenno,Variant 5,Variant 1,Variant 3,no,50268,21488,45313,46,60,29,12
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant3_Screenyes,Variant 5,Variant 1,Variant 3,yes,50268,21488,45313,46,60,29,12
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant4_Screenno,Variant 5,Variant 1,Variant 4,no,50268,21488,58448,47,62,34,12
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant4_Screenyes,Variant 5,Variant 1,Variant 4,yes,50268,21488,58448,47,62,34,12
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant5_Screenno,Variant 5,Variant 1,Variant 5,no,50268,21488,203107,45,62,37,16
MaasterrasAVariant5_MaasterrasBVariant1_MaasterrasCVariant5_Screenyes,Variant 5,Variant 1,Variant 5,yes,50268,21488,203107,45,62,37,16
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant1_Screenno,Variant 5,Variant 2,Variant 1,no,50268,23967,90688,45,60,35,16
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant1_Screenyes,Variant 5,Variant 2,Variant 1,yes,50268,23967,90688,45,60,35,16
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant2_Screenno,Variant 5,Variant 2,Variant 2,no,50268,23967,61128,45,60,33,15
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant2_Screenyes,Variant 5,Variant 2,Variant 2,yes,50268,23967,61128,45,60,33,15
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant3_Screenno,Variant 5,Variant 2,Variant 3,no,50268,23967,45313,46,60,29,12
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant3_Screenyes,Variant 5,Variant 2,Variant 3,yes,50268,23967,45313,46,60,29,12
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant4_Screenno,Variant 5,Variant 2,Variant 4,no,50268,23967,58448,47,62,34,12
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant4_Screenyes,Variant 5,Variant 2,Variant 4,yes,50268,23967,58448,47,62,34,12
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant5_Screenno,Variant 5,Variant 2,Variant 5,no,50268,23967,203107,45,62,37,16
MaasterrasAVariant5_MaasterrasBVariant2_MaasterrasCVariant5_Screenyes,Variant 5,Variant 2,Variant 5,yes,50268,23967,203107,45,62,37,16
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant1_Screenno,Variant 5,Variant 3,Variant 1,no,50268,23967,90688,45,60,34,17
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant1_Screenyes,Variant 5,Variant 3,Variant 1,yes,50268,23967,90688,45,60,34,17
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant2_Screenno,Variant 5,Variant 3,Variant 2,no,50268,23967,61128,46,60,33,15
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant2_Screenyes,Variant 5,Variant 3,Variant 2,yes,50268,23967,61128,46,60,33,15
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant3_Screenno,Variant 5,Variant 3,Variant 3,no,50268,23967,45313,47,60,29,12
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant3_Screenyes,Variant 5,Variant 3,Variant 3,yes,50268,23967,45313,47,60,29,12
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant4_Screenno,Variant 5,Variant 3,Variant 4,no,50268,23967,58448,47,62,32,12
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant4_Screenyes,Variant 5,Variant 3,Variant 4,yes,50268,23967,58448,47,62,32,12
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant5_Screenno,Variant 5,Variant 3,Variant 5,no,50268,23967,203107,45,62,36,17
MaasterrasAVariant5_MaasterrasBVariant3_MaasterrasCVariant5_Screenyes,Variant 5,Variant 3,Variant 5,yes,50268,23967,203107,45,62,36,17
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant1_Screenno,Variant 5,Variant 4,Variant 1,no,50268,22905,90688,45,60,33,16
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant1_Screenyes,Variant 5,Variant 4,Variant 1,yes,50268,22905,90688,45,60,33,16
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant2_Screenno,Variant 5,Variant 4,Variant 2,no,50268,22905,61128,46,60,32,15
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant2_Screenyes,Variant 5,Variant 4,Variant 2,yes,50268,22905,61128,46,60,32,15
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant3_Screenno,Variant 5,Variant 4,Variant 3,no,50268,22905,45313,47,60,28,12
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant3_Screenyes,Variant 5,Variant 4,Variant 3,yes,50268,22905,45313,47,60,28,12
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant4_Screenno,Variant 5,Variant 4,Variant 4,no,50268,22905,58448,47,62,32,12
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant4_Screenyes,Variant 5,Variant 4,Variant 4,yes,50268,22905,58448,47,62,32,12
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant5_Screenno,Variant 5,Variant 4,Variant 5,no,50268,22905,203107,46,62,35,16
MaasterrasAVariant5_MaasterrasBVariant4_MaasterrasCVariant5_Screenyes,Variant 5,Variant 4,Variant 5,yes,50268,22905,203107,46,62,35,16
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant1_Screenno,Variant 5,Variant 5,Variant 1,no,50268,28540,90688,46,60,33,16
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant1_Screenyes,Variant 5,Variant 5,Variant 1,yes,50268,28540,90688,46,60,33,16
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant2_Screenno,Variant 5,Variant 5,Variant 2,no,50268,28540,61128,46,60,32,15
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant2_Screenyes,Variant 5,Variant 5,Variant 2,yes,50268,28540,61128,46,60,32,15
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant3_Screenno,Variant 5,Variant 5,Variant 3,no,50268,28540,45313,48,60,28,12
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant3_Screenyes,Variant 5,Variant 5,Variant 3,yes,50268,28540,45313,48,60,28,12
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant4_Screenno,Variant 5,Variant 5,Variant 4,no,50268,28540,58448,48,62,32,12
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant4_Screenyes,Variant 5,Variant 5,Variant 4,yes,50268,28540,58448,48,62,32,12
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant5_Screenno,Variant 5,Variant 5,Variant 5,no,50268,28540,203107,46,62,36,16
MaasterrasAVariant5_MaasterrasBVariant5_MaasterrasCVariant5_Screenyes,Variant 5,Variant 5,Variant 5,yes,50268,28540,203107,46,62,36,16
